2021-05-29T14:31:36.465+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 5, "forRound": 799504, "baseEpoch": 799503, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895348, "lookbackEpochs": 900, "networkPowerAtLookback": "6670653625513115648", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:32:06.286+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 99, "forRound": 799505, "baseEpoch": 799504, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895349, "lookbackEpochs": 900, "networkPowerAtLookback": "6670779519594496000", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:32:36.031+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 6, "forRound": 799506, "baseEpoch": 799505, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895350, "lookbackEpochs": 900, "networkPowerAtLookback": "6670922524825583616", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:33:06.098+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 72, "forRound": 799507, "baseEpoch": 799506, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895351, "lookbackEpochs": 900, "networkPowerAtLookback": "6670922490465845248", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:33:36.446+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 5, "forRound": 799508, "baseEpoch": 799507, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895352, "lookbackEpochs": 900, "networkPowerAtLookback": "6670922490465845248", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:34:06.522+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 41, "forRound": 799509, "baseEpoch": 799508, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895353, "lookbackEpochs": 900, "networkPowerAtLookback": "6670922490465845248", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:34:36.035+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 7, "forRound": 799510, "baseEpoch": 799509, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895354, "lookbackEpochs": 900, "networkPowerAtLookback": "6670841779440418816", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:35:06.066+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 41, "forRound": 799511, "baseEpoch": 799510, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895355, "lookbackEpochs": 900, "networkPowerAtLookback": "6670841779440418816", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:35:36.035+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 5, "forRound": 799512, "baseEpoch": 799511, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895356, "lookbackEpochs": 900, "networkPowerAtLookback": "6670845524651900928", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:36:06.237+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 39, "forRound": 799513, "baseEpoch": 799512, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895357, "lookbackEpochs": 900, "networkPowerAtLookback": "6670845524651900928", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:36:36.028+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 5, "forRound": 799514, "baseEpoch": 799513, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895358, "lookbackEpochs": 900, "networkPowerAtLookback": "6670846486724575232", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
